Disease,Description,Diet,workout,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Stay hydrated', 'Include nutrient-rich foods', 'Consume foods rich in vitamin C and antioxidants', 'Include zinc-rich foods', 'Limit sugary foods and beverages', 'Consume chicken soup', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet', 'Follow medical recommendations']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Stay hydrated', 'Include nutrient-rich foods', 'Consume foods rich in vitamin C and antioxidants', 'Limit fatty and greasy foods', 'Avoid caffeine and alcohol', 'Include soft and easily digestible foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet', 'Follow medical recommendations']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Monitor carbohydrate intake', 'Eat balanced meals', 'Include lean proteins', 'Consume high-fiber foods', 'Stay hydrated', 'Limit sugary foods and beverages', 'Include healthy fats', 'Monitor blood sugar levels', 'Consult a registered dietitian', 'Take prescribed medications as directed']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",have balanced diet,exercise,consult doctor,follow up
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,"['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']","['Consume high-fiber foods', 'Stay hydrated', 'Include nutrient-rich foods', 'Consume foods rich in flavonoids', 'Limit processed foods', 'Avoid spicy and greasy foods', 'Consult a healthcare professional', 'Practice good hygiene', 'Gradually resume normal diet', 'Follow medical recommendations']","['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Discontinue offending medication', 'Stay hydrated', 'Include anti-inflammatory foods', 'Consume antioxidants', 'Avoid trigger foods', 'Include omega-3 fatty acids', 'Limit caffeine and alcohol', 'Stay hydrated', 'Eat a balanced diet', 'Consult a healthcare professional']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Avoid sugary foods', 'Consume probiotics', 'Increase intake of garlic', 'Include yogurt in diet', 'Limit processed foods', 'Stay hydrated', 'Consume green tea', 'Eat foods rich in zinc', 'Include turmeric in diet', 'Eat fruits and vegetables']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Consume smaller meals', 'Avoid trigger foods (spicy, fatty)', 'Eat high-fiber foods', 'Limit caffeine and alcohol', 'Chew food thoroughly', 'Avoid late-night eating', 'Consume non-citrus fruits', 'Include lean proteins', 'Stay hydrated', 'Avoid carbonated beverages']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Stay hydrated', 'Consume clear fluids', 'Follow the BRAT diet (bananas, rice, applesauce, toast)', 'Include bland foods', 'Avoid fatty and greasy foods', 'Limit caffeine and alcohol', 'Avoid spicy foods', 'Consult a healthcare professional', 'Gradually reintroduce solid foods', 'Avoid dairy products']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Follow a heart-healthy diet', 'Limit sodium intake', 'Include fiber-rich foods', 'Consume healthy fats', 'Include lean proteins', 'Limit sugary foods and beverages', 'Stay hydrated', 'Consult a healthcare professional', 'Follow medical recommendations', 'Engage in regular exercise']","['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']",call ambulance,chew or swallow asprin,keep calm,do not drink alcohol
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Follow a balanced and nutritious diet', 'Stay hydrated', 'Include protein-rich foods', 'Consume nutrient-rich foods', 'Limit fatty foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Follow a balanced and nutritious diet', 'Stay hydrated', 'Include protein-rich foods', 'Consume nutrient-rich foods', 'Limit fatty foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Follow a balanced and nutritious diet', 'Stay hydrated', 'Include protein-rich foods', 'Consume nutrient-rich foods', 'Limit fatty foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Stay hydrated', 'Consume nutrient-rich foods', 'Include protein-rich foods', 'Consume easily digestible foods', 'Limit fatty foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Follow the DASH diet (Dietary Approaches to Stop Hypertension)', 'Limit sodium intake', 'Include potassium-rich foods', 'Stay hydrated', 'Consume calcium-rich foods', 'Limit alcohol consumption', 'Include magnesium-rich foods', 'Consume omega-3 fatty acids', 'Limit processed foods', 'Consult a healthcare professional']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",meditation,salt baths,reduce stress,get proper sleep
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","['Limit iodine intake', 'Consume cruciferous vegetables in moderation', 'Stay hydrated', 'Include nutrient-rich foods', 'Limit caffeine and alcohol', 'Include omega-3 fatty acids', 'Consult a healthcare professional', 'Follow medical recommendations', 'Maintain a stable weight', 'Engage in regular exercise']","['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",eat healthy,massage,use lemon balm,take radioactive iodine treatment
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","['Consume complex carbohydrates', 'Include protein-rich foods', 'Stay hydrated', 'Limit sugary foods and beverages', 'Consume regular meals and snacks', 'Consult a healthcare professional', 'Monitor blood sugar levels', 'Follow medical recommendations', 'Engage in regular physical activity', 'Limit alcohol intake']","['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",lie down on side,check in pulse,drink sugary drinks,consult doctor
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","['Include iodine-rich foods', 'Consume selenium-rich foods', 'Stay hydrated', 'Include nutrient-rich foods', 'Limit processed foods', 'Consume foods rich in vitamins B and D', 'Consult a healthcare professional', 'Follow medical recommendations', 'Maintain a stable weight', 'Engage in regular exercise']","['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",reduce stress,exercise,eat healthy,get proper sleep
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.,"['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']","['Maintain good hygiene', 'Stay hydrated', 'Consume nutrient-rich foods', 'Limit sugary foods and beverages', 'Include foods rich in vitamin C', 'Consult a healthcare professional', 'Follow medical recommendations', 'Avoid scratching', 'Take prescribed antibiotics', 'Practice wound care']","['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Stay hydrated', 'Consume nutrient-rich foods', 'Include protein-rich foods', 'Consume easily digestible foods', 'Limit fatty foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Stay hydrated', 'Consume nutrient-rich foods', 'Include protein-rich foods', 'Consume foods rich in antioxidants', 'Limit fatty and greasy foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Identify and avoid trigger foods', 'Stay hydrated', 'Include magnesium-rich foods', 'Consume omega-3 fatty acids', 'Limit caffeine and alcohol', 'Consume riboflavin-rich foods', 'Limit processed foods', 'Maintain regular meal times', 'Consult a healthcare professional', 'Manage stress']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",meditation,reduce stress,use poloroid glasses in sun,consult doctor
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Consume anti-inflammatory foods', 'Include omega-3 fatty acids', 'Consume antioxidant-rich foods', 'Stay hydrated', 'Limit processed foods', 'Include vitamin K-rich foods', 'Consult a healthcare professional', 'Follow medical recommendations', 'Engage in low-impact exercise', 'Maintain a healthy weight']","['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",acetaminophen,consult nearest hospital,follow up,salt baths
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Follow a balanced and nutritious diet', 'Include lean proteins', 'Consume nutrient-rich foods', 'Stay hydrated', 'Include healthy fats', 'Limit sugary foods and beverages', 'Include antioxidants', 'Consume foods rich in vitamin K', 'Consult a healthcare professional', 'Manage stress']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",massage,eat healthy,exercise,consult doctor
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Consume smaller, more frequent meals', 'Avoid trigger foods (spicy, acidic)', 'Include high-fiber foods', 'Limit caffeine and alcohol', 'Stay hydrated', 'Consume probiotics', 'Include lean proteins', 'Include antioxidant-rich foods', 'Limit processed foods', 'Avoid smoking and alcohol']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Stay hydrated', 'Include nutrient-rich foods', 'Consume foods rich in vitamin C and antioxidants', 'Include zinc-rich foods', 'Limit sugary foods and beverages', 'Consume chicken soup', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet', 'Follow medical recommendations']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.","['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Consume anti-inflammatory foods', 'Include omega-3 fatty acids', 'Include vitamin D analogues', 'Limit alcohol consumption', 'Stay hydrated', 'Consult a healthcare professional', 'Limit processed foods', 'Follow medical recommendations', 'Manage stress', 'Consider phototherapy under medical guidance']","['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Consume a high-protein diet', 'Include nutrient-rich foods', 'Stay hydrated', 'Consume foods rich in vitamins A and C', 'Include zinc-rich foods', 'Limit sugary foods and beverages', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet', 'Follow medical recommendations']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,"['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Consume easily digestible foods', 'Stay hydrated', 'Include nutrient-rich foods', 'Consume foods rich in vitamin C and antioxidants', 'Include protein-rich foods', 'Avoid fatty and greasy foods', 'Consult a healthcare professional', 'Gradually resume normal diet', 'Follow medical recommendations', 'Avoid alcohol and caffeine']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']","['Stay hydrated', 'Consume cranberry products', 'Include vitamin C-rich foods', 'Limit caffeine and alcohol', 'Consume probiotics', 'Avoid spicy and acidic foods', 'Consult a healthcare professional', 'Follow medical recommendations', 'Maintain good hygiene', 'Limit sugary foods and beverages']","['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs.","['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']","['Consume a high-fiber diet', 'Stay hydrated', 'Include nutrient-rich foods', 'Consume foods rich in antioxidants', 'Limit sodium intake', 'Include flavonoid-rich foods', 'Avoid standing or sitting for long periods', 'Consult a healthcare professional', 'Follow medical recommendations', 'Engage in regular exercise']","['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Stay hydrated', 'Consume nutrient-rich foods', 'Include protein-rich foods', 'Consume easily digestible foods', 'Limit fatty foods', 'Avoid alcohol and caffeine', 'Include vitamin C-rich foods', 'Consult a healthcare professional', 'Rest and conserve energy', 'Gradually resume normal diet']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
